function_name,M,N,topology,sigma,unique_clusters,calinski_harabasz,davies_bouldin,silhouette,ari,nmi
gaussian,2,5,rectangular,0.1,1,,,,0.0,0.0
gaussian,2,5,rectangular,0.5,3,4302.67909110593,3.3657936915449613,0.05957522811454667,0.17262608654376266,0.29443850883904166
gaussian,2,5,rectangular,1.0,10,2276.4973084295,2.692899049546813,0.06356653270258207,0.3583882303244705,0.46828052750272825
gaussian,2,5,rectangular,10.0,10,2345.429569545472,3.466041017968726,0.051153474464835307,0.3674230905176161,0.4576835591763173
gaussian,2,5,hexagon,0.1,1,,,,0.0,0.0
gaussian,2,5,hexagon,0.5,2,4758.665716400722,3.7506541203817187,0.08751859487508455,0.06760713526255877,0.14533789605625938
gaussian,2,5,hexagon,1.0,7,2783.4147230752023,3.297203720273917,0.05730233015307112,0.2788759524850515,0.37853324944455974
gaussian,2,5,hexagon,10.0,10,2092.235789651957,3.7894218452129977,0.020348499497473072,0.2621921993472476,0.3656860064767261
mexican_hat,2,5,rectangular,0.1,1,,,,0.0,0.0
mexican_hat,2,5,rectangular,0.5,1,,,,0.0,0.0
mexican_hat,2,5,rectangular,1.0,1,,,,0.0,0.0
mexican_hat,2,5,rectangular,10.0,2,68.4593607893061,1.9175035080752945,0.17193552038888554,9.65595031759009e-06,0.0009616692952791729
mexican_hat,2,5,hexagon,0.1,1,,,,0.0,0.0
mexican_hat,2,5,hexagon,0.5,1,,,,0.0,0.0
mexican_hat,2,5,hexagon,1.0,1,,,,0.0,0.0
mexican_hat,2,5,hexagon,10.0,2,2113.7739324506956,1.9685274247917979,0.14723768945752086,0.0045483380144770115,0.059690910948741134
